SERIAL_CODE,EMS_ID,STATION_NAME,STATION_NAME_FULL,LOCATION,CITY,CATEGORY,STATION_ENVIRONMENT,STATION_OWNER,DATE_ESTABLISHED,NOTES,LATITUDE,LONGITUDE,HEIGHT.m.,STATUS,CGNDB
428,E289309,Abbotsford A Columbia Street,Abbotsford A Columbia Street,N/A,Abbotsford,METRO VANCOUVER,N/A,MVRD,7/25/2012,GVRD T045,49.0215,-122.3266,65,ACTIVE,N/A
429,E289309,Abbotsford A Columbia Street,Abbotsford A Columbia Street Met,N/A,Abbotsford,METRO VANCOUVER,N/A,MVRD,7/25/2012 6:28:41 AM,GVRD T045,49.0215,-122.3266,65,ACTIVE,N/A
306,0310081,Abbotsford Airport,Abbotsford Airport,2nd Avenue,Abbotsford,NON OPERATIONAL,Commercial,MVRD,1/7/1978,GVRD T011;Closed 1994-04-28,49.0306,-122.3761,40,INACTIVE,N/A
262,E246240,Abbotsford Airport Walmsley Road,Abbotsford Airport Walmsley Road,31790 Walmsley Road,Aldergrove,METRO VANCOUVER NON OPERATIONAL,Commercial,MVRD,5/1/2001,GVRD T034,49.0235,-122.3430,65,INACTIVE,N/A
261,E238212,Abbotsford Central,Abbotsford Central,32995 Bevan Avenue,Abbotsford,METRO VANCOUVER,Residential,MVRD,9/17/1998,GVRD T033,49.0428,-122.3097,80,ACTIVE,N/A
307,E217029,Abbotsford Downtown,Abbotsford Downtown,South Fraser Highway,Abbotsford,NON OPERATIONAL,Residential,MVRD,1/5/1992,GVRD T028;Station Closed 1998-09-17,49.0492,-122.2922,20,INACTIVE,N/A
442,E293810,Agassiz Municipal Hall,Agassiz Municipal Hall,Agassiz,Agassiz,METRO VANCOUVER,N/A,MVRD,6/3/2013,GVRD T044,49.238032,-121.762334,23,ACTIVE,N/A
443,E293810,Agassiz Municipal Hall,Agassiz Municipal Hall Met,N/A,Agassiz,METRO VANCOUVER,N/A,MVRD,6/7/2013 8:39:12 AM,GVRD T044,49.238032,-121.762334,23,ACTIVE,N/A
22,E230617,Ainsworth 100 Mile,Ainsworth 100 Mile Met_60,Exeter Station Road,100 Mile House,OPERATIONAL,Rural,ENV,9/30/1998,Met closed Sept 3/2013; T/RH. Pluvio & Snowdepth still active,51.6534,-121.366,1063,INACTIVE,N/A
426,E288890,Alex Fraser Bridge,Alex Fraser Bridge,N/A,Delta,METRO VANCOUVER NON OPERATIONAL,N/A,MVRD,1/1/2012,GVRD T037,49.1592,-122.9422,160,INACTIVE,N/A
308,0310167,Anmore,Anmore,Elementary Road,Anmore,METRO VANCOUVER NON OPERATIONAL,Residential,MVRD,1/8/1980,GVRD T017;Station Closed 1998-02-01,49.3111,-122.8583,174,INACTIVE,N/A
309,M110514,Annacis Island,Annacis Island,Alex Fraser Bridge,Vancouver,NON OPERATIONAL,Commercial,ENV,8/9/1986,Station Closed 2002-05-23,49.1597,-122.9422,160,INACTIVE,N/A
459,E296510,Ashcroft Ranch,Ashcroft Ranch,N/A,None,METRO VANCOUVER NON OPERATIONAL,N/A,MVRD,2/28/2014 2:11:00 PM,N/A,50.704444,-121.340830,565,INACTIVE,N/A
450,E295729,Bessborough 237 Road,Bessborough 237 Road,237 Road,None,OPERATIONAL,DR DAS Ultimate Datalogger,INDUSTRY,11/26/2013 12:17:54 PM,N/A,55.791944,-120.483611,665,ACTIVE,N/A
520,E257435,Birchbank Golf Course,Birchbank Golf Course,South end of golf course,Trail,OPERATIONAL,N/A,INDUSTRY,8/17/2016,Attached to Ultimate at Trail Columbia Gardens,49.15785500,-117.7331200,483,ACTIVE,N/A
97,E257435,Birchbank Golf Course,Birchbank Golf Course_60,South end of golf course,Trail,OPERATIONAL,Forest,INDUSTRY,8/11/2004,CR1000,49.157855,-117.73312,483,ACTIVE,N/A
510,E306063,Blueberry River First Nation School,Blueberry River First Nation School,Stoney Flats Road,Buick,NON OPERATIONAL,N/A,ENV,6/23/2016 7:30:07 AM,Station shutdown 2017-11-29,56.70165500,-121.10429000,675,INACTIVE,N/A
513,E306063,Blueberry River First Nation School,Blueberry River First Nation School_60,Stoney Flats Road,Buick,NON OPERATIONAL,N/A,ENV,6/23/2016 1:13:11 PM,Station shutdown 2017-11-29,56.70165500,-121.10429000,675,INACTIVE,N/A
310,E238240,Boston Bar RCMP Station,Boston Bar RCMP Station,47864 Old Boston Bar Road,Boston Bar,NON OPERATIONAL,Residential,ENV,8/7/1999,Station Closed 2002-06-20,49.8658,-121.4425,180,INACTIVE,N/A
349,M114017,Brilliant,Brilliant,Popoff Street,Castlegar,NON OPERATIONAL,Residential,ENV,12/5/1993,Station closed 2002-07-31,49.3217,-117.6403,0,INACTIVE,N/A
504,Buick OGC CAMEL,Buick Creek Elementary School,Buick Creek Elementary School,N/A,Buick,BC OGC MOBILE,N/A,BC OGC,2/4/2015,N/A,56.759244,-121.274225,0,INACTIVE,N/A
251,E244515,Burnaby Burmount,Burnaby Burmount,7815 Shellmont Street,Burnaby,METRO VANCOUVER,Residential,MVRD,1/1/2000,GVRD T022,49.2667,-122.9356,101,ACTIVE,N/A
311,0310178,Burnaby Confederation Park,Burnaby Confederation Park,Pandora Street and Alpha Avenue,Burnaby,METRO VANCOUVER NON OPERATIONAL,Residential,MVRD,1/8/1977,GVRD T005;Station Closed 1999-05-28,49.2833,-123.0208,101,INACTIVE,N/A
312,E207420,Burnaby Edmonds,Burnaby Edmonds,19th Street and 10th Avenue,Burnaby,METRO VANCOUVER NON OPERATIONAL,Residential,MVRD,1/6/1987,GVRD T020;Station Closed 1994-03-31,49.2056,-122.9519,113,INACTIVE,N/A
242,0310177,Burnaby Kensington Park,Burnaby Kensington Park,6400 East Hastings,Burnaby,METRO VANCOUVER,Residential,MVRD,1/3/1975,GVRD T004,49.2794,-122.9711,133,ACTIVE,N/A
313,E206270,Burnaby Mountain,Burnaby Mountain,Ring Road SFU,Burnaby,METRO VANCOUVER,Residential,MVRD,1/1/1984,GVRD T014,49.2797,-122.9222,360,ACTIVE,N/A
253,E244517,Burnaby North Eton,Burnaby North Eton,North Eton and Madison Avenue,Burnaby,METRO VANCOUVER,Residential,MVRD,1/1/2000,GVRD T024,49.2875,-123.0078,70,ACTIVE,N/A
249,E207418,Burnaby South,Burnaby South,5455 Rumble Street,Burnaby,METRO VANCOUVER,Residential,MVRD,1/6/1987,GVRD T018,49.2153,-122.9856,122,ACTIVE,N/A
436,E225267,Burns Lake Fire Centre,Burns Lake Fire Centre,#8 4th Avenue,Burns Lake,OPERATIONAL,N/A,ENV,2/15/2013 11:04:56 AM,Converted from ESC to Envidas Ultimate 2017-05-17,54.2307,-125.7643,652,ACTIVE,N/A
104,E225267,Burns Lake Fire Centre,Burns Lake Fire Centre_60,#8 4th Avenue,Burns Lake,OPERATIONAL,Commercial; NAPS 105201,ENV,1/3/1997,PM2.5 TEOM set to record at local temperature and pressure 2011-02-16,54.230731,-125.764354,710,ACTIVE,N/A
439,E292669,Burns Lake Sheraton East,Burns Lake Sheraton East Met_60,N/A,Burns Lake,OPERATIONAL,N/A,INDUSTRY,2/21/2013 8:56:42 AM,N/A,54.1527,-125.4495,679,ACTIVE,N/A
24,E229798,Campbell River Tyee Spit,Campbell River Tyee Spit,2662 Tyee Spit,Campbell River,NON OPERATIONAL,Industrial,INDUSTRY,1/12/1997,Monitoring suspended until Mill re-opens (2010-01-04);;;;Shut down 2010/01/04,50.0486,-125.2556,3,INACTIVE,N/A
26,0260021,Castlegar Hospital,Castlegar Hospital,709 10th Street,Castlegar,OPERATIONAL,Residential,INDUSTRY,1/2/1978,N/A,49.3144,-117.6605,455,ACTIVE,N/A
350,M114217,Castlegar,Castlegar Met,709 10th Street,Castlegar,NON OPERATIONAL,Residential,ENV,10/20/1985,Station closed 1995-08-08,49.3139,-117.6578,451,INACTIVE,N/A
98,M114009,Celgar Pulp,Celgar Pulp Met_60,N/A,Castlegar,OPERATIONAL,Industry,INDUSTRY,12/5/1994,N/A,49.3333,-117.7188,449,ACTIVE,N/A
6,E253229,Central Saanich Stellys Cross Road,Central Saanich Stellys Cross Road,Tsartlip Band Property,Victoria,NON OPERATIONAL,Residential,ENV,8/9/2003,Station closed 2010-03-02,48.5800,-123.4422,60,INACTIVE,N/A
166,E253229,Central Saanich Stellys CrossRoad,Central Saanich Stellys CrossRoad_60,Tsartlip Band Property,Victoria,NON OPERATIONAL,Residential,ENV,8/9/2003,Station Closed 2010-03-03,48.5800,-123.4422,60,INACTIVE,N/A
555,Chetwynd OGC CAMEL,Chetwynd Airport Westgate Road,Chetwynd Airport Westgate Road,At west end of  airstrip,Chetwynd,BC OGC MOBILE,N/A,BC OGC,9/19/2018 3:26:23 PM,N/A,55.682131,-121.646006,0,INACTIVE,N/A
500,E220891,Chilliwack Airport,Chilliwack Airport,Airport Road,Chilliwack,METRO VANCOUVER,Commercial,MVRD,5/18/1994,GVRD T012,49.1561,-121.9406,10,ACTIVE,N/A
245,E220891,Chilliwack Airport,Chilliwack Airport_OLD,Airport Road,Chilliwack,METRO VANCOUVER NON OPERATIONAL,Commercial,MVRD,5/18/1994,GVRD T012,49.1561,-121.9406,10,INACTIVE,N/A
314,M110517,Chilliwack Airport,Chilliwack Airport_OLD,Airport,Chilliwack,NON OPERATIONAL,Commercial,MVRD,5/17/1994,Station Closed 2000-03-09,49.1511,-121.9469,15,INACTIVE,N/A
315,0310173,Chilliwack Airport,Chilliwack Airport_Old,Chilliwack Airport,Chilliwack,NON OPERATIONAL,Commercial,MVRD,1/2/1979,Station Closed 1987-05-09,49.1558,-121.9436,0,INACTIVE,N/A
316,E206612,Chilliwack Works Yard,Chilliwack Works Yard,Works Yard,Chilliwack,METRO VANCOUVER NON OPERATIONAL,Commercial,MVRD,1/1/1984,GVRD T012;Station Closed 1996-05-31,49.1519,-121.9511,10,INACTIVE,N/A
553,E240337,Colwood City Hall,Colwood City Hall_60,3300 Wishart Road,Colwood,OPERATIONAL,N/A,ENV,9/6/2018 3:54:12 PM,MET site added on 2018-09-07,48.42389,-123.49278,75,ACTIVE,N/A
260,E242892,Coquitlam Douglas College,Coquitlam Douglas College,1250 Pinetree Way,Coquitlam,METRO VANCOUVER,Residential,MVRD,1/10/2000,GVRD T032,49.2881,-122.7914,61,ACTIVE,N/A
526,E285829,Courtenay Elementary School,Courtenay Elementary School_60,1540 McPhee Avenue,Courtenay,OPERATIONAL,N/A,ENV,12/8/2016 1:16:57 PM,N/A,49.682603,-124.996222,27,INACTIVE,N/A
351,E242577,Cranbrook Forest Fire,Cranbrook Forest Fire,Forest,Cranbrook,NON OPERATIONAL,Forest,ENV,8/20/2000,Station closed 2000-09-12,49.5319,-115.7536,891,INACTIVE,N/A
551,E313510,Cranbrook Muriel Baxter,Cranbrook Muriel Baxter_60,3rd St. S. 20 Ave S.,Cranbrook,OPERATIONAL,N/A,ENV,8/16/2018 12:06:35 PM,N/A,49.507103,-115.753682,941,INACTIVE,N/A
352,E220203,Cranbrook PR3,Cranbrook PR3,Adjacent to 1333 14th Avenue S,Cranbrook,NON OPERATIONAL,Residential,ENV,4/20/1994,Station closed 1998-11-30,49.5100,-115.7592,970,INACTIVE,N/A
353,E206243,Cranbrook Swimming Pool,Cranbrook Swimming Pool,Balment Park,Cranbrook,NON OPERATIONAL,Residential,ENV,1/8/1989,Station closed 1993-09-16,49.5117,-115.7569,940,INACTIVE,N/A
99,E256215,Creston Flats,Creston Flats_60,830 Indian Road,Creston,NON OPERATIONAL,Rural,ENV,5/31/2007,Station Closed 2009-08-24,49.1339,-116.5528,529,INACTIVE,N/A
29,E221199,Creston PC School,Creston PC School,Prince Charles Secondary School,Creston,NON OPERATIONAL,Residential,ENV,10/27/1994,TEOM set to record at actual temperature and pressure 2011-02-10,49.0944,-116.5125,609,INACTIVE,N/A
31,M114018,Creston PC School,Creston PC School Met_60,Prince Charles Secondary School,Creston,NON OPERATIONAL,Residential,ENV,2/1/1995,N/A,49.0944,-116.5125,609,INACTIVE,N/A
32,E259398,Creston Piper Farms,Creston Piper Farms,Canada/US Border,Creston,NON OPERATIONAL,N/A,ENV,12/1/2008,Gas Analyzers closed 2007-05-03            Station Closed 2009-07-01,49.0119,-116.5333,418,INACTIVE,N/A
354,E262799,Creston South Hanson Farm,Creston South Hanson Farm,Hanson Farm,Creston,NON OPERATIONAL,Rural,ENV,4/15/2006,Station closed 2008-09-24,49.0439,-116.5439,525,INACTIVE,N/A
285,E206379,Crofton Community Hall,Crofton Community Hall,Robert Street,Crofton,NON OPERATIONAL,Residential,ENV,1/7/1986,Station Closed 1994-03-27,48.8647,-123.6481,73,INACTIVE,N/A
564,E316070,Crofton Elementary,Crofton Elementary,8017 York Ave,Crofton,OPERATIONAL,N/A,INDUSTRY,4/1/2019 2:01:12 PM,N/A,48.860000,-123.64388889,38,ACTIVE,N/A
38,E273443,Crofton Escarpment Way,Crofton Escarpment Way,1821 Escarpment Way,Crofton,NON OPERATIONAL,Industrial,INDUSTRY,9/18/2008,Station closed February 3. 2014,48.8380,-123.6552,142,INACTIVE,N/A
458,E296370,Crofton Georgia Hts,Crofton Georgia Hts,1427 Georgia Park Hts,Crofton,OPERATIONAL,N/A,INDUSTRY,2/18/2014,N/A,48.849635,-123.637041,150,INACTIVE,N/A
37,M101004,Crofton,Crofton Met_60,Catalyst Paper,Crofton,NON OPERATIONAL,Industrial,INDUSTRY,3/15/1991,N/A,48.8802,-123.6458,20,INACTIVE,N/A
286,E220218,Crofton South,Crofton South,7390 Albert Place,Crofton,NON OPERATIONAL,Residential,INDUSTRY,7/22/1994,Station Closed 2008-09-04,48.8389,-123.6528,140,INACTIVE,N/A
39,E220217,Crofton Substation,Crofton Substation,8541 Hay Road,Crofton,OPERATIONAL,Industrial,INDUSTRY,8/19/1994,NAPS 106701,48.874529,-123.653929,22,ACTIVE,N/A
287,E220219,Crofton West,Crofton West,7815 Westholme Road,Crofton,NON OPERATIONAL,Rural,INDUSTRY,8/7/1994,Station Closed 1998-07-29,48.8694,-123.6944,10,INACTIVE,N/A
506,Dawson OGC CAMEL,Dawson Creek Northern Lights College,Dawson Creek Northern Lights College,N/A,Dawson Creek,BC OGC MOBILE,N/A,BC OGC,4/1/2014,N/A,55.747586,-120.230519,0,INACTIVE,N/A
454,E295893,Doig River Cultural Centre,Doig River Cultural Centre,4356 Doig Road,Doig River,NON OPERATIONAL,DR DAS Ultimate Datalogger at North Road,ENV,12/10/2013,Station closed Dec 2. 2015 @1100.,56.57808330,-120.49748000,552,INACTIVE,N/A
462,E295893,Doig River Cultural Centre,Doig River Cultural Centre Met_60,4356 Doig Road,Doig River,NON OPERATIONAL,N/A,ENV,5/5/2014 7:39:24 AM,Station closed Dec 2. 2015 @1100.,56.57808330,-120.49748000,552,INACTIVE,N/A
33,E277329,Duncan Cairnsmore,Duncan Cairnsmore,490 Cairnsmore Street,Duncan,NON OPERATIONAL,Residential; Telus; NAPS 104803,ENV,8/17/2009,PM2.5=BAM1020; PM2.5 BAM set to record at local temperature and pressure 2011-02-04. shutdown 2018-01-15,48.784854,-123.715846,62,INACTIVE,N/A
523,E277329,Duncan Cairnsmore,Duncan Cairnsmore_60,490 Cairnsmore Street,Duncan,NON OPERATIONAL,N/A,ENV,11/28/2016 2:24:47 PM,CR1000 installed 2016-12-07. shutdown 2018-01-15,48.784854,-123.715846,62,INACTIVE,N/A
537,E311128,Duncan College Street,Duncan College Street_60,1050 College Street,Duncan,OPERATIONAL,Downwind Cantimber Biotech,ENV,12/4/2017,BAM1020. MET,48.786114,-123.717307,32,ACTIVE,N/A
40,E234670,Duncan Deykin Avenue,Duncan Deykin Avenue,6364 Deykin Avenue,Duncan,OPERATIONAL,Rural,INDUSTRY,1/11/1998,NAPS 104801,48.80255,-123.646402,62,ACTIVE,N/A
288,E242620,Duncan Koksilah,Duncan Koksilah,5300 Island Highway,Duncan,NON OPERATIONAL,Commercial,ENV,9/26/2000,Station Closed 2001-12-07,48.7580,-123.6889,0,INACTIVE,N/A
289,E223361,Duncan Mobile,Duncan Mobile,5700 Menzies Road,Duncan,NON OPERATIONAL,Rural,ENV,1/7/1996,Station Closed 1996-10-24,48.9128,-123.7814,61,INACTIVE,N/A
290,E242166,Duncan Mobile Transfer Station,Duncan Mobile Transfer Station,3900 Drinkwater Road,Duncan,NON OPERATIONAL,Industrial,ENV,1/7/2000,Station Closed 2001-05-08,49.8036,-123.6897,244,INACTIVE,N/A
317,0310169,Eagle Ridge,Eagle Ridge,475 Guildford Way,Port Moody,METRO VANCOUVER NON OPERATIONAL,Residential,MVRD,10/15/2010,GVRD T010;Station Closed 1999-05-31,49.2847,-122.9017,52,INACTIVE,N/A
522,E222520,Elk Falls Dogwood,Elk Falls Dogwood,Adjacent to 660 Westmere,Campbell River,OPERATIONAL,Residential; NAPS 102801,INDUSTRY,11/18/2016 5:02:57 PM,N/A,50.018425,-125.2844,63,ACTIVE,N/A
41,E222520,Elk Falls Dogwood,Elk Falls Dogwood_OLD,Adjacent to 660 Westmere,Campbell River,NON OPERATIONAL,Residential; NAPS 102801,INDUSTRY,12/1/1995,PM2.5 TEOM set to record at local temperature and pressure 2011-02-21   BAM1020 set to feed BC AQO 2013-03-07; removed PM2.5 2014-05-20; removed NOx/O3 2014-06-01,50.018425,-125.2844,63,INACTIVE,N/A
44,E251329,Elk Falls Pulp Mill,Elk Falls Pulp Mill_60,Adjacent to 660 Westmere,Campbell River,NON OPERATIONAL,Industrial,INDUSTRY,11/2/2003,Station Closed 2010-08-31,50.0733,-125.2869,15,INACTIVE,N/A
47,E231478,Esquimalt Graving Dock,Esquimalt Graving Dock_60,825 Admirals Road,Victoria,NON OPERATIONAL,Commercial,ENV,8/29/2004,Station Closed September 17. 2013 @0800 PST,48.4374,-123.4220,23,INACTIVE,N/A
455,E295892,Farmington Community Hall,Farmington Community Hall,4794 Parkland Road,Farmington,OPERATIONAL,N/A,INDUSTRY,12/5/2017,Station closed April 27. 2016 @0900 PST; Reopened on Dec. 5. 2017. euipment from Blueberry River First Nation School,55.91323260,-120.53157000,696,ACTIVE,N/A
464,E295892,Farmington Community Hall,Farmington Community Hall Met_60,4794 Parkland Road,Farmington,OPERATIONAL,N/A,INDUSTRY,12/5/2017,Station closed April 27. 2016 @0900 PST; Reopened on Dec. 5. 2107 (Equipment moved from Blueberry River),55.9132326,-120.53157000,696,ACTIVE,N/A
275,E283242,Farmington MAML,Farmington MAML,Farm yard off Hwy 97,Farmington,MOBILE NON OPERATIONAL,Rural,ENV,8/13/2010,Mobile Air Monitoring Laboratory;;Station Closed 2010-09-10,55.904722,-120.51583,686,INACTIVE,N/A
396,E239298,Fort Nelson Brucker Ranch,Fort Nelson Brucker Ranch,Blcok A of District Lot 1676,Fort Nelson,NON OPERATIONAL,Undeveloped,INDUSTRY,10/27/1999,Station closed 2005-09-20,58.5778,-122.5894,518,INACTIVE,N/A
50,E250350,Fort Nelson Chalo School,Fort Nelson Chalo School_60,Chalo Road (First Nation reserve),Fort Nelson,NON OPERATIONAL,Rural,INDUSTRY,12/30/2002,Station Closed 2009-07-28,58.7480,-122.6622,380,INACTIVE,N/A
398,0770706,Fort Nelson Jackfish,Fort Nelson Jackfish,Jackfish Creek,Fort Nelson,NON OPERATIONAL,Forest,INDUSTRY,1/4/1993,Station closed 2000-01-06,58.5883,-122.6644,468,INACTIVE,N/A
397,0770704,Fort Nelson Muskawa Industrial Area,Fort Nelson Muskawa Industrial Area,Muskawa Industrial Area,Fort Nelson,NON OPERATIONAL,Industrial,INDUSTRY,1/4/1993,Station closed 199-09-30,58.7419,-122.6808,371,INACTIVE,N/A
399,0770705,Fort Nelson Townsite,Fort Nelson Townsite,Village Site,Fort Nelson,NON OPERATIONAL,Residential,INDUSTRY,1/4/1993,Station closed 2005-09-21,58.8103,-122.7042,408,INACTIVE,N/A
489,E304550,Fort St John 85th Avenue,Fort St John 85th Avenue_60,in flat industrial part of south FSJ,Fort St John,BC HYDRO,N/A,INDUSTRY-BCH,11/4/2015 12:24:25 PM,Communications started January 13. 2016,56.2317920,-120.8538950,685,ACTIVE,N/A
505,FSJ OGC CAMEL,Fort St John Hospital,Fort St John Hospital,at 79 Street & 112 Avenue,Fort St John,BC OGC MOBILE,N/A,BC OGC,1/22/2014,N/A,56.257717,-120.809353,0,INACTIVE,N/A
52,E243516,Fort St John NP Cultural Centre,Fort St John NP Cultural Centre,10015 100th Avenue,Fort St John,NON OPERATIONAL,Commercial,ENV,3/8/2001,PM2.5 TEOM set to record at local temperature and pressure 2011-03-19; station closed 2015-10-15,56.2458,-120.8489,695,INACTIVE,N/A
516,E306480,Fort St John North Camp B,Fort St John North Camp B_Amb_60,Worker's Camp at Site C,Fort St John,BC HYDRO,CR1000,INDUSTRY-BCH,7/7/2016,N/A,56.200998,-120.9026000,581,INACTIVE,N/A
533,E309527,Fort St John North Camp C,Fort St John North Camp C_60,Worker's Camp at Site C,Fort St John,BC HYDRO,CR1000,INDUSTRY-BCH,8/23/2017 9:43:40 AM,N/A,56.2032887,-120.90108,584,ACTIVE,N/A
517,E309527,Fort St John North Camp C,Fort St John North Camp C_Met_60,Worker's Camp at Site C,Fort St John,BC HYDRO,CR1000,INDUSTRY-BCH,7/7/2016,N/A,56.200998,-120.9026000,581,ACTIVE,N/A
487,E304470,Fort St John Old Fort,Fort St John Old Fort_60,8880 Old Fort Loop,Fort St John,BC HYDRO,N/A,INDUSTRY-BCH,10/30/2015 3:01:39 PM,Communications started January 13. 2016,56.2005870,-120.8257130,421,ACTIVE,N/A
452,E295949,Fraser Lake Endako Mines,Fraser Lake Endako Mines_60,Endako Mines,Fraser Lake,OPERATIONAL,Industrial,INDUSTRY,12/1/2013,CR800,54.034444,-125.095833,1005,ACTIVE,N/A
355,E222140,Genelle,Genelle,Medengo Drive and 2nd Street,Trail,NON OPERATIONAL,Residential,INDUSTRY,9/14/1995,Station closed 2004-09-30,49.2075,-117.6969,440,INACTIVE,N/A
318,E217061,Gibsons Firehall,Gibsons Firehall,Firehall Roof,Gibsons,NON OPERATIONAL,Residential,INDUSTRY,5/5/1992,Station Closed 1995-07-05,49.4117,-123.5131,0,INACTIVE,N/A
529,E308306,Gibsons Municipal Hall,Gibsons Municipal Hall,474 South Fletcher Road,Gibsons,OPERATIONAL,N/A,ENV,4/6/2017,N/A,49.40054,-123.50913000,30,ACTIVE,N/A
